source,scenario,region,technology,indicator,unit,2020,2030,2050
WEO2021,SDS,United States,Nuclear,Capital costs,$/kW,5000,4800,4500
WEO2021,SDS,United States,Coal,Capital costs,$/kW,2100,2100,2100
WEO2021,SDS,United States,Gas CCGT,Capital costs,$/kW,1000,1000,1000
WEO2021,SDS,United States,Solar PV,Capital costs,$/kW,1100,640,440
WEO2021,SDS,United States,Wind onshore,Capital costs,$/kW,1390,1280,1200
WEO2021,SDS,United States,Wind offshore,Capital costs,$/kW,4040,2420,1660
WEO2021,SDS,European Union,Nuclear,Capital costs,$/kW,6600,5100,4500
WEO2021,SDS,European Union,Coal,Capital costs,$/kW,2000,2000,2000
WEO2021,SDS,European Union,Gas CCGT,Capital costs,$/kW,1000,1000,1000
WEO2021,SDS,European Union,Solar PV,Capital costs,$/kW,840,510,370
WEO2021,SDS,European Union,Wind onshore,Capital costs,$/kW,1500,1390,1310
WEO2021,SDS,European Union,Wind offshore,Capital costs,$/kW,3480,2220,1520
WEO2021,SDS,China,Nuclear,Capital costs,$/kW,2800,2800,2500
WEO2021,SDS,China,Coal,Capital costs,$/kW,800,800,800
WEO2021,SDS,China,Gas CCGT,Capital costs,$/kW,560,560,560
WEO2021,SDS,China,Solar PV,Capital costs,$/kW,650,380,260
WEO2021,SDS,China,Wind onshore,Capital costs,$/kW,1260,1160,1090
WEO2021,SDS,China,Wind offshore,Capital costs,$/kW,2960,1760,1100
WEO2021,SDS,India,Nuclear,Capital costs,$/kW,2800,2800,2800
WEO2021,SDS,India,Coal,Capital costs,$/kW,1200,1200,1200
WEO2021,SDS,India,Gas CCGT,Capital costs,$/kW,700,700,700
WEO2021,SDS,India,Solar PV,Capital costs,$/kW,600,340,230
WEO2021,SDS,India,Wind onshore,Capital costs,$/kW,1040,990,960
WEO2021,SDS,India,Wind offshore,Capital costs,$/kW,2980,1800,1220
WEO2021,SDS,United States,Nuclear,Capacity factor,%,90,85,80
WEO2021,SDS,United States,Coal,Capacity factor,%,30,10,
WEO2021,SDS,United States,Gas CCGT,Capacity factor,%,50,25,
WEO2021,SDS,United States,Solar PV,Capacity factor,%,21,22,23
WEO2021,SDS,United States,Wind onshore,Capacity factor,%,42,43,44
WEO2021,SDS,United States,Wind offshore,Capacity factor,%,42,46,48
WEO2021,SDS,European Union,Nuclear,Capacity factor,%,75,75,70
WEO2021,SDS,European Union,Coal,Capacity factor,%,25,,
WEO2021,SDS,European Union,Gas CCGT,Capacity factor,%,50,40,
WEO2021,SDS,European Union,Solar PV,Capacity factor,%,13,14,14
WEO2021,SDS,European Union,Wind onshore,Capacity factor,%,29,29,30
WEO2021,SDS,European Union,Wind offshore,Capacity factor,%,51,55,58
WEO2021,SDS,China,Nuclear,Capacity factor,%,80,80,80
WEO2021,SDS,China,Coal,Capacity factor,%,55,45,5
WEO2021,SDS,China,Gas CCGT,Capacity factor,%,30,30,30
WEO2021,SDS,China,Solar PV,Capacity factor,%,17,18,19
WEO2021,SDS,China,Wind onshore,Capacity factor,%,26,27,27
WEO2021,SDS,China,Wind offshore,Capacity factor,%,34,40,43
WEO2021,SDS,India,Nuclear,Capacity factor,%,75,80,80
WEO2021,SDS,India,Coal,Capacity factor,%,50,40,20
WEO2021,SDS,India,Gas CCGT,Capacity factor,%,50,55,10
WEO2021,SDS,India,Solar PV,Capacity factor,%,20,21,21
WEO2021,SDS,India,Wind onshore,Capacity factor,%,26,28,29
WEO2021,SDS,India,Wind offshore,Capacity factor,%,32,36,38
WEO2021,SDS,United States,Nuclear,Fuel and O&M,$/MWh,30,30,30
WEO2021,SDS,United States,Coal,Fuel and O&M,$/MWh,65,125,155
WEO2021,SDS,United States,Gas CCGT,Fuel and O&M,$/MWh,40,65,75
WEO2021,SDS,United States,Solar PV,Fuel and O&M,$/MWh,10,10,10
WEO2021,SDS,United States,Wind onshore,Fuel and O&M,$/MWh,10,10,10
WEO2021,SDS,United States,Wind offshore,Fuel and O&M,$/MWh,35,20,15
WEO2021,SDS,European Union,Nuclear,Fuel and O&M,$/MWh,35,35,35
WEO2021,SDS,European Union,Coal,Fuel and O&M,$/MWh,105,165,210
WEO2021,SDS,European Union,Gas CCGT,Fuel and O&M,$/MWh,70,95,105
WEO2021,SDS,European Union,Solar PV,Fuel and O&M,$/MWh,10,10,10
WEO2021,SDS,European Union,Wind onshore,Fuel and O&M,$/MWh,15,15,15
WEO2021,SDS,European Union,Wind offshore,Fuel and O&M,$/MWh,15,10,10
WEO2021,SDS,China,Nuclear,Fuel and O&M,$/MWh,25,25,25
WEO2021,SDS,China,Coal,Fuel and O&M,$/MWh,65,115,150
WEO2021,SDS,China,Gas CCGT,Fuel and O&M,$/MWh,80,100,115
WEO2021,SDS,China,Solar PV,Fuel and O&M,$/MWh,10,5,5
WEO2021,SDS,China,Wind onshore,Fuel and O&M,$/MWh,15,15,10
WEO2021,SDS,China,Wind offshore,Fuel and O&M,$/MWh,25,15,10
WEO2021,SDS,India,Nuclear,Fuel and O&M,$/MWh,30,30,30
WEO2021,SDS,India,Coal,Fuel and O&M,$/MWh,30,30,30
WEO2021,SDS,India,Gas CCGT,Fuel and O&M,$/MWh,60,45,45
WEO2021,SDS,India,Solar PV,Fuel and O&M,$/MWh,5,5,5
WEO2021,SDS,India,Wind onshore,Fuel and O&M,$/MWh,10,10,10
WEO2021,SDS,India,Wind offshore,Fuel and O&M,$/MWh,25,15,10
WEO2021,SDS,United States,Nuclear,LCOE,$/MWh,105,105,105
WEO2021,SDS,United States,Coal,LCOE,$/MWh,150,410,
WEO2021,SDS,United States,Gas CCGT,LCOE,$/MWh,65,110,
WEO2021,SDS,United States,Solar PV,LCOE,$/MWh,50,30,25
WEO2021,SDS,United States,Wind onshore,LCOE,$/MWh,35,30,30
WEO2021,SDS,United States,Wind offshore,LCOE,$/MWh,115,70,45
WEO2021,SDS,European Union,Nuclear,LCOE,$/MWh,150,120,115
WEO2021,SDS,European Union,Coal,LCOE,$/MWh,200,,
WEO2021,SDS,European Union,Gas CCGT,LCOE,$/MWh,95,120,
WEO2021,SDS,European Union,Solar PV,LCOE,$/MWh,55,35,30
WEO2021,SDS,European Union,Wind onshore,LCOE,$/MWh,50,45,45
WEO2021,SDS,European Union,Wind offshore,LCOE,$/MWh,75,45,30
WEO2021,SDS,China,Nuclear,LCOE,$/MWh,65,65,60
WEO2021,SDS,China,Coal,LCOE,$/MWh,80,135,290
WEO2021,SDS,China,Gas CCGT,LCOE,$/MWh,100,120,135
WEO2021,SDS,China,Solar PV,LCOE,$/MWh,35,20,15
WEO2021,SDS,China,Wind onshore,LCOE,$/MWh,50,45,40
WEO2021,SDS,China,Wind offshore,LCOE,$/MWh,100,55,30
WEO2021,SDS,India,Nuclear,LCOE,$/MWh,70,70,70
WEO2021,SDS,India,Coal,LCOE,$/MWh,55,65,95
WEO2021,SDS,India,Gas CCGT,LCOE,$/MWh,75,60,125
WEO2021,SDS,India,Solar PV,LCOE,$/MWh,35,20,15
WEO2021,SDS,India,Wind onshore,LCOE,$/MWh,50,45,40
WEO2021,SDS,India,Wind offshore,LCOE,$/MWh,135,75,50
WEO2021,STEPS,United States,Nuclear,Capital costs,$/kW,5000,4800,4500
WEO2021,STEPS,United States,Coal,Capital costs,$/kW,2100,2100,2100
WEO2021,STEPS,United States,Gas CCGT,Capital costs,$/kW,1000,1000,1000
WEO2021,STEPS,United States,Solar PV,Capital costs,$/kW,1100,710,530
WEO2021,STEPS,United States,Wind onshore,Capital costs,$/kW,1390,1310,1270
WEO2021,STEPS,United States,Wind offshore,Capital costs,$/kW,4040,2560,1920
WEO2021,STEPS,European Union,Nuclear,Capital costs,$/kW,6600,5100,4500
WEO2021,STEPS,European Union,Coal,Capital costs,$/kW,2000,2000,2000
WEO2021,STEPS,European Union,Gas CCGT,Capital costs,$/kW,1000,1000,1000
WEO2021,STEPS,European Union,Solar PV,Capital costs,$/kW,840,550,430
WEO2021,STEPS,European Union,Wind onshore,Capital costs,$/kW,1500,1420,1370
WEO2021,STEPS,European Union,Wind offshore,Capital costs,$/kW,3480,2260,1720
WEO2021,STEPS,China,Nuclear,Capital costs,$/kW,2800,2800,2500
WEO2021,STEPS,China,Coal,Capital costs,$/kW,800,800,800
WEO2021,STEPS,China,Gas CCGT,Capital costs,$/kW,560,560,560
WEO2021,STEPS,China,Solar PV,Capital costs,$/kW,650,420,310
WEO2021,STEPS,China,Wind onshore,Capital costs,$/kW,1260,1190,1140
WEO2021,STEPS,China,Wind offshore,Capital costs,$/kW,2960,1860,1280
WEO2021,STEPS,India,Nuclear,Capital costs,$/kW,2800,2800,2800
WEO2021,STEPS,India,Coal,Capital costs,$/kW,1200,1200,1200
WEO2021,STEPS,India,Gas CCGT,Capital costs,$/kW,700,700,700
WEO2021,STEPS,India,Solar PV,Capital costs,$/kW,600,380,270
WEO2021,STEPS,India,Wind onshore,Capital costs,$/kW,1040,1020,1000
WEO2021,STEPS,India,Wind offshore,Capital costs,$/kW,2980,1960,1440
WEO2021,STEPS,United States,Nuclear,Capacity factor,%,90,90,90
WEO2021,STEPS,United States,Coal,Capacity factor,%,50,60,60
WEO2021,STEPS,United States,Gas CCGT,Capacity factor,%,50,45,40
WEO2021,STEPS,United States,Solar PV,Capacity factor,%,21,22,22
WEO2021,STEPS,United States,Wind onshore,Capacity factor,%,42,43,44
WEO2021,STEPS,United States,Wind offshore,Capacity factor,%,42,46,48
WEO2021,STEPS,European Union,Nuclear,Capacity factor,%,75,75,75
WEO2021,STEPS,European Union,Coal,Capacity factor,%,35,40,40
